STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TempAvg,TempMax,TempMin,Fog,Thunder,Ice Pellets,Hail,Smoke
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,2/24/2018,0.08,,,,38,28,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,2/25/2018,0.12,0,0,,46,34,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,2/26/2018,0,,,,47,28,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,2/27/2018,0.01,,,,47,32,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,2/28/2018,0.73,0,0,,47,32,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/1/2018,0.18,0,0,,42,35,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/2/2018,0,,,,52,38,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/3/2018,0.18,0,0,,45,33,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/4/2018,0,,,,52,30,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/5/2018,0,,,,47,35,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/6/2018,0,0,0,,48,35,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/7/2018,0,,,,54,35,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/8/2018,0.19,0,0,,48,38,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/9/2018,0.9,0,0,,50,36,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/10/2018,0,0,0,,53,32,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/11/2018,0,,,,59,33,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/12/2018,0,,,,66,38,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/14/2018,0.11,,,,58,43,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/15/2018,0,0,0,,55,32,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/16/2018,0,0,0,,57,33,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/17/2018,0,,,,59,33,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/18/2018,0,0,0,,55,40,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/19/2018,0,0,0,,55,33,,,,,
